,titulo,fecha,texto,periodico
0,El Perseverance logra extaer oxígeno de la atmósfera de marte,2021-04-22,"
El rover Perseverance logró extraer oxígeno de la atmósfera de Marte, lo que constituye el primer paso para lograr el objetivo de no tener que transportar grandes cantidades de ese elemento químico al planeta rojo para impulsar los cohetes de regreso a la Tierra, según informó la NASA.
MOXIE, uno de los instrumentos a bordo del explorador robótico que tocó Marte el 18 de febrero, pudo extraer oxígeno de la fina atmósfera marciana, compuesta en un 96 % de dióxido de carbono (una parte de carbono y dos partes de oxígeno) y menos de un 1 % de oxígeno. La prueba realizada el martes produjo 5 gramos de  oxígeno, que, según la NASA, es suficiente para proporcionar 10 minutos de  oxígeno respirable a un astronauta. Se trata del primer paso para proveerse de oxígeno en Marte con el fin de impulsar cohetes, lo que permitiría a la agencia espacial estadounidense reducir la cantidad que tendría que transportar al planeta rojo cuando envíe astronautas al planeta rojo. Un cohete con cuatro astronautas necesitaría 3,5 veces más oxígeno que combustible para cohetes para un viaje de regreso desde  Marte, explicó la NASA en un comunicado. ""Transportar 25 toneladas métricas de oxígeno desde la Tierra a  Marte sería una tarea ardua. Transportar un convertidor de  oxígeno de una tonelada, un descendiente más grande y poderoso que MOXIE que podría producir esas 25 toneladas, sería mucho más económico y práctico"", agregó. Por ahora, la NASA mantiene la fecha de hoy para que el mini-helicóptero Ingenuity, que es otro de los dispositivos del Perseverance, realice su segundo vuelo en Martes, pero no ha dado detalles hasta ahora. El pasado lunes, Ingenuity flotó a unos tres metros del suelo marciano durante 30 segundos y se convirtió así en la primera aeronave de la Tierra en volar sobre otro planeta. EFE",Portafolio
1,Gremios preparan contrapropuesta al proyecto de reforma tributaria,2021-04-22,"
Así lo anunció el Consejo Gremial Nacional al dar su primera impresión sobre la Reforma Tributaria que presentó la semana pasada el ministro de Hacienda, Alberto Carrasquilla.(Lea: El IVA a la energía les costaría $4 billones a los consumidores)“El Consejo Gremial Nacional y los gremios que lo conforman le presentarán alternativas al Congreso de la República y el Gobierno Nacional en los aspectos sobre los cuales se tienen observaciones, así como en los alcances del proyecto de ley, para que de esta manera se impulse una reforma sostenible que contribuya a la recuperación social y económica del país y a evitar la informalidad laboral y empresarial”, expresó en un comunicado.
Para los gremios del país se debe trabajar en una  reforma que contribuya a mitigar los efectos económicos generados por la pandemia que, a través de programas sociales, asegure la sostenibilidad fiscal y la calificación de riesgo del país.A juicio de ese organismo,  para lograr un tránsito eficaz en su discusión en el Congreso de la República, es fundamental lograr un equilibrio en tres aspectos.El primero, es el monto de recursos que realmente pueda conseguir esta reforma, el segundo es  explorar fuentes alternativas de recursos que le permitan al país superar esta difícil coyuntura (combatir la evasión, ajustar el gasto, desarrollar una enajenación de activos no estratégicos, entre otras).Por último, menciona la necesidad de atender la realidad de la ya afectada capacidad económica de contribución de los hogares y de las empresas colombianas.",Portafolio
2,El dólar volvió a las pérdidas luego de tres jornadas al alza,2021-04-22,"
Luego de tres jornadas al alza, el dólar regresó esté jueves a las pérdidas. Al cierre de la jornada, la divisa estadounidense cayó 8 pesos en la Bolsa de Valores de Colombia y se negoció en un precio promedio de 3.631 pesos, respecto a la TRM definida para hoy en 3.639 pesos.
",Portafolio
3,Aumenta la asignación de recursos del Incentivo a la Producción Minera,2021-04-22,"
Para el presente año, un total de 212 municipios del país contarán con $287.606 millones correspondientes al Incentivo a la Producción, una fuente de recursos que busca impulsar la extracción y transporte de crudo, carbón, gas y níquel en el país, a través de los recursos del Sistema General de Regalías. Así lo anunció el ministro de Minas y Energía, Diego Mesa, al precisar que la asignación supera en un 50% la del bienio 2019-2020, que llegó a los $191.761 millones.(Lea: Con minería de 14 departamentos se busca reactivación)
“El sector minero energético es sinónimo de oportunidades para las regiones que le apuestan a la producción de hidrocarburos y minerales. En 2021 aumentamos el número de municipios beneficiados con el Incentivo a la producción, llegando por primera vez a 55 poblaciones, con recursos adicionales, que se traducirán en obras que transforman vidas”, aseguró el Ministro de Minas y Energía, Diego Mesa.(Lea: El sector minero espera un crecimiento del 15 % en 2021)Meta, con $46.353 millones de pesos, es el departamento del país con la mayor asignación de recursos del Incentivo a la Producción, seguido de Casanare ($35.857 millones), Cesar ($29.106 millones), Córdoba ($21.138 millones) y Antioquia ($18.735 millones). Por primera vez 52 municipios en departamentos como Antioquia, Chocó, Bolívar y Nariño, recibirán $35.900 millones, gracias a su destacado desempeño en la producción de metales preciosos.“El sistema general de regalías se vuelve en el principal recurso de inversión para el desarrollo y para poder sacar tantas necesidades qué hay al interior del territorio del departamento”, Nemesio Roys, gobernador de La Guajira.Además de los $302 millones de pesos que recibirá por su participación en el transporte marítimo de recursos como hidrocarburos y minerales, el Archipiélago de San Andrés Providencia y Santa Catalina recibirá $9.587 millones de pesos, para el desarrollo de proyectos encaminados a garantizar la prestación de servicios públicos, esto con ocasión de la emergencia desatada por el Huracán Iota.A partir de este año, los recursos del Incentivo a la Producción podrán invertirse en iniciativas que promuevan la formalización minera en el país, además de proyectos que impulsen el desarrollo social, la reactivación sostenible, la protección y recuperación ambiental de los municipios beneficiados.Desde 2015, a través del Incentivo a la Producción, 175 municipios productores y portuarios del país han recibido $626.000 millones de pesos, con los cuales se han financiado 140 proyectos de transporte, 87 proyectos del vivienda, ciudad y territorio y 58 proyectos de educación.",Portafolio
4,"Jaime Upegui, reelegido presidente de junta directiva de Asobancaria",2021-04-22,"
La Junta Directiva de la Asociación Bancaria y de Entidades Financieras de Colombia -Asobancaria- reeligió a Jaime Alberto Upegui, presidente de Scotiabank Colpatria, como su presidente para un nuevo periodo de un año.
En medio de la difícil coyuntura que afronta el país, el sector tiene el objetivo de ser un aliado clave y sólido para el proceso de recuperación económica y la superación de la crisis generada por la pandemia. Para eso, el gremio seguirá trabajando en dinamizar la financiación de la recuperación económica, gestionar la inclusión financiera de los ciudadanos y empresas, e incentivar el crecimiento sostenible de Colombia.“Desde la banca tenemos la responsabilidad enorme de apalancar la recuperación de la economía y seguir siendo un aliado de las familias y las empresas en el cumplimiento de sus proyectos y la superación de la crisis desatada por la pandemia”, dijo el presidente de la Junta Directiva de Asobancaria.Upegui es abogado con especialización en derecho financiero y finanzas de la Universidad de los Andes, y tiene una amplia experiencia de más de 25 años en el sector financiero en América Latina, en compañías como Banco Colpatria y Citibank y en el sector real en Baxter.",Portafolio
5,Grupo Argos tiene abiertas 234 vacantes de empleo en Colombia,2021-04-22,"
El Grupo Argos anunció que tiene abiertas 234 vacantes para trabajar en sus compañías, Cementos Argos, Celsia, Odinsa y Summa, y que los interesados podrán postularse para integrarse a los más de 14.000 colaboradores de la organización.
En estas plazas laborales se destacan vacantes para la conducción de mixers, la operación de proyectos, mantenimiento y experiencia de servicio, y según informó Argos, la mayoría de las convocatorias se distribuyen entre Antioquia, Córdoba, Cundinamarca y Valle del Cauca.Las vacantes de empleo están públicas en la página www.jobs.grupoargos.com, donde los interesados pueden conocer las oportunidades, postularse y cargar su hoja de vida. La compañía destacó también que viene trabajando en el desarrollo de procesos de selección inclusivos para incrementar la participación femenina en su matriz de talento, con el fomento de la empleabilidad de las mujeres en labores que históricamente no han desempeñado en industrias como la del cemento o la energía.",Portafolio
6,"Economía verde, la más sacrificada en los planes de recuperación",2021-04-22,"
A pesar de que diversos organismos internacionales sugieren que las políticas fiscales restauradoras del medio ambiente son una de las herramientas más eficaces para la recuperación económica postpandemia, los planes expansivos que preparan los países de América Latina apenas cuentan con inversiones en economía verde.(Tributaria eliminaría incentivos a los proyectos de renovables). 
La creación de millones de nuevos empleos y el impulso de un crecimiento igualitario e inclusivo son los argumentos que se ponen encima de la mesa para corregir los efectos adversos de la crisis impulsando una transición económica hacia actividades con cero emisiones netas, pero esta respuesta no acaba de tomar formar.""No hay suficiente inversión todavía en los sectores verdes en nuestra región"", aseveró en declaraciones a Efe la secretaria ejecutiva de la Comisión Económica para América Latina y el Caribe (Cepal), Alicia Bárcena.(El IVA a la energía les costaría $4 billones a los consumidores). ""Son pocos los sectores en los que estamos invirtiendo y pocas las empresas. Y los Gobiernos en esta pandemia le han quitado presupuesto al tema ambiental, eso para nosotros es muy preocupante"", continuó. La máxima representante de la Cepal indicó que si se analizan los presupuestos la inversión verde no llega ni al 0,5 % del producto interno bruto (PIB) de los países. SÓLO ALGUNOS PAÍSES RICOS INVIERTEN EN VERDE, PERO MUY POCOEl Programa de las Naciones Unidas para el Medio Ambiente (PNUMA) reveló en un informe reciente que hasta la fecha los esfuerzos de recuperación y rescate fiscal relacionados con la covid-19 por parte de 50 economías líderes asciende a 14,6 billones dólares, de los que ""solo"" 341.000 millones de dólares corresponden a gasto ""verde"", lo que representa el 18 % del total. En los tres países latinoamericanos presentes en el G20, Argentina, Brasil y México, el gasto en recuperación verde en porcentaje del PIB de 2019 porcentaje es inexistente, según ese estudio, y de la región sólo se destaca la inversión en transporte público eléctrico hecha por Chile. El informe concluye que no se está construyendo mejor pese a la oportunidad que supone aprovechar el gasto de la recuperación postpandemia en políticas que combatan el cambio climático que conseguirían crecimiento económico y abordar las desigualdades. ""No pensamos que pueda haber una recuperación después de la covid-19 que no sea justa e inclusiva. Los Gobiernos tiene que pensar en esto cuando proyectan sus planes de recuperación"", dijo Beatriz Martins, especialista de la Unidad de Eficiencia de Recursos del PNUMA en América Latina y el Caribe. LA CREACIÓN DE EMPLEO, UNA DE LOS GRANDES INCENTIVOS Uno de los mayores atractivos para superar la crisis de la covid-19 avanzando en economía verde lo compartieron el Banco Interamericano de Desarrollo (BID) y la Organización Internacional del Trabajo (OIT) en un informe conjunto en el que ilustraron que la región de América Latina y el Caribe puede crear 15 millones de empleos netos en sectores verdes hacia 2030. Este estudio considera que en la transición hacia una economía de cero emisiones netas se destruirán 7,5 millones de empleos en áreas como la electricidad a partir de combustibles fósiles, la extracción de combustibles fósiles y la producción de alimentos de origen animal. En paralelo surgirán nuevas oportunidades de empleo que compensarán esa pérdida mediante la creación de 22,5 millones de puestos de trabajo en los sectores de la agricultura, la producción de alimentos de origen vegetal, las energías renovables, la silvicultura, la construcción y la manufactura. ""REPRIMARIZACIÓN"" DE LA ECONOMÍA LATINOAMERICANA Sin embargo, lejos de avanzar hacia esos sectores, a lo que se está yendo en este momento es a una ""reprimarización"" de la economía latinoamericana debido al incremento del precio de los commodities (materias primas o productos básicos) que exporta la región, apuntó Bárcena. ""Suben los precios de los commodities y nos vamos otra vez a las industrias extractivas y eso de nuevo va a afectar fuertemente al medio ambiente"", expresó la representante de la Cepal. La forma de evitar esto es ""convencer a los actores privados y públicos de que hay alternativas renovables"" en las que invertir y ofrecerles el marco adecuado para que lo hagan, continuó. ""La inversión extranjera directa que llega a América Latina ya llega con esa calidad y se va a estos sectores pero tiene que haber por parte de los gobiernos una claridad regulatoria que incentive y asegure esas inversiones"", concluyó Bárcena. EFE ",Portafolio
7,"
Rappi definirá plan para vacunar a sus domiciliarios",2021-04-22,"

Tras el anuncio del Gobierno nacional acerca de la autorización de entrada del sector privado en el Plan Nacional de Vacunación contra el Covid-19 para permitir la importación, adquisición y aplicación de vacunas por parte de privados, la empresa señaló que recibe con optimismo la noticia y reiteró su compromiso para participar a través de este nuevo mecanismo.(Lea también: Prepárese, hoy inicia la devolución de IVA a 2 millones de colombianos)“En Rappi iniciamos conversaciones con funcionarios del Gobierno Nacional y actores privados del sector salud con el fin de lograr al menos 10.000 vacunas para los repartidores que prestan su servicio a través de nuestra aplicación de acuerdo con las normas y criterios establecidas por el gobierno en el Plan Nacional de Vacunación”, explicó la firma.(Le puede interesar, además: Lupa de Superfinanciera a la gestión de los defensores del cliente)La empresa señaló además que una vez aclaradas las dudas sobre el proceso anunciado dará a conocer su parte del plan para ejecutarlo a la mayor brevedad.PORTAFOLIOContinúe leyendo:- Estos son los requisitos para ingresar al programa Familias en Acción- Ojalá que covid cambie lógica de políticos para discutir reforma: Ocde

",El tiempo
8,"
Cargos  de la SIC por fallas en venta de boletas en tuboleta.com",2021-04-22,"

Cobro de boletería cuya compra no se concretó en su sistema, duplicidad de cobros originados en compras motivadas por mensajes de rechazo enviados a los consumidores e impedir el ingreso de las personas a un evento cuya boletería fue adquirida en tuboleta.com, son las razones por las que la Superintendencia de Industria y Comercio (SIC) le abrió una investigación a Ticket Fast S.A.S. con el fin de verificar estas fallas.(Lea también: Estos son los requisitos para ingresar al programa Familias en Acción)""Se evidenciaron presuntas vulneraciones en la comercialización de boletasde nueve espectáculos públicos a través de la página tuboleta.com, entre loscuales se encuentran: 'Disney On Ice', 'André Rieu', 'Norah Jones' y el'Superconcierto de J-Balvin en el Carnaval de Barranquilla', entre otros"", acaba de informar el ente de vigilancia y control.Le puede interesar, además: La fundación de Johana Bahamón está ofreciendo vacantes de empleo)La SIC informó que también pudo establecer de manera preliminar que, al parecer, a través de la página web www.tuboleta.com ""no se informó a los consumidores de forma clara, oportuna, suficiente, comprensible, precisa e idónea el procedimiento para hacer efectivos los descuentos o promociones para determinados eventos, como  'Disney On Ice' llevado a cabo en 2019"".A lo anterior se suma el hecho de que Ticket Fast no estaría informando a los consumidores de otros servicios que presta a través de la plataforma de compra de boletas, lo cual es una falla grave, pues podría generar confusión entre las personas.Y es que a la Superindustria han llegado denuncias de personas relacionadas al servicio 'Asegura Tu boleta' ofrecido durante el proceso de compra de boletería de espectáculos públicos que se realiza a través de la página web www.tuboleta.com, pues al parecer, ""la casilla asociada a dicho servicio, que se encuentra preseleccionada por el sistema de la sociedad para su adquisición por parte de los consumidores, podría no ser fácilmente identificable y comprensible por estos, debido a que se trata de un servicio opcional e independiente de la venta de boletería"", señala la SIC.En ese sentido, la entidad indicó que revisará la presunta omisión de Ticket Fast S.A.S., respecto del deber de informar a esta Entidad la cancelación o modificación de eventos cuya boletería se comercializó a través de su página web.De comprobarse esas presuntas fallas por parte de la empresa investigada, esta tendrá que pagar una multa de hasta 2.000 salarios mínimos legales vigentes, lo que equivale a cerca de 2.000 millones de pesos. La SIC precisó que contra este acto administrativo no procede ningún recurso.Continúe leyendo:- El paso a paso de la investigación de la Superindustria a WhatsApp- Las grandes empresas con los dividendos más generosos y más rentables

",El tiempo
9,"
Estos son los dividendos que reciben los accionistas",2021-04-22,"

Las empresas que cotizan en bolsa se disponen a repartir entre sus accionistas parte de las utilidades conseguidas en 2020, pese a la difícil coyuntura.(Lea también: ¿Es independiente? Conozca cómo reponer aportes a pensión del 2020)Y mientras algunas lo harán en una sola cuota, como Ecopetrol, Corficolombiana, Davivienda, Cementos Argos y Grupo Argos, otras lo harán en dos, cuatro y hasta 12 meses, según lo aprobado por sus asambleas en reciente oportunidad y teniendo en cuenta el dividendo.El dividendo más alto este año corre por cuenta del Banco de Bogotá, que reconocerá a sus accionistas 3.336 pesos por cada acción en su poder. Lo hará en 12 cuotas a razón de 278 pesos mes.(Le puede interesar, además: Dividendos de más de $ 29 millones anuales tendrán que tributar)Le sigue Corficolombiana con un dividendo de 2.042 pesos, que dará este 18 de mayo. Los accionistas del Grupo Bolívar recibirán 1.404 pesos, más un dividendo extraordinario de 125 pesos, entre abril del 2021 y marzo del 2022.ISA y la BVC distribuirán entre sus socios 1.303 y 1.158 pesos, respectivamente, pagaderos en dos cuotas, 22 de julio y 14 de diciembre del 2021, en el caso de la primera, y 30 de abril y 30 de agosto, en la segunda compañía.Según informe de Casa de Bolsa, Grupo Argos, Cementos Argos y Corficolombiana han permitido a sus inversionistas redimir el pago del dividendo ya sea en efectivo o en acciones.Pero advierte la firma que para el caso del Grupo Argos y Cementos Argos (al 8 de abril del 2021), resulta más atractivo optar por un pago de dividendos en efectivo. Y dicen que en el caso del Grupo Argos “sería atractivo optar por el pago en acciones solo si el precio está por encima de los 12.215 pesos, y de 5.330 en el caso de la cementera”.Continúe leyendo:- ¿Qué hogares recibirían $366 mil de ingreso solidario con la reforma?- Reforma prevé que la mitad de la población subirá su poder de compra

",El tiempo
