,titulo,fecha,texto,periodico
0,En vehículos la tributaria deja pasar una oportunidad de oro: Andemos,2021-04-27,"
Para el sector automotor el proyecto de reforma tributaria era una buena oportunidad para fijar y acceder a una política pública de transporte, vía el manejo de impuestos adecuados para lograr descontaminar, reducir las congestiones vehiculares y mejorar calidad de vida, pero esto no se dio, según lo explica Oliverio García, presidente de Andemos”.(Lea: Inician las discusiones de la reforma tributaria en el Congreso)
El directivo afirma que el defecto que tiene el proyecto es de externalidades negativas, como que  el país sigue premiando los carros viejos con menor carga fiscal.(Lea: Los otros caminos que podría explorar la reforma tributaria) Pareciera que se ignorara que los nuevos vehículos llegan con tecnologías recientes amigables con el medio ambiente, que contribuyen a prevenir choques, que incorporan radares, sensores que cuidan la vida de las personas, y sin embargo, los ponen a pagar más que los carros viejos.“El número de accidentes que se generan por los carros viejos en el país y las vidas que cuestan, tampoco están el argumento del proyecto oficial. Los colombianos nos acostumbramos todos los años a ver como un carro viejo en una vereda tuvo una falla mecánica y le costó la vida a 10 o 20 personas, sin que esto pase a mayores, y la situación se repite en diferentes zonas del país, sin que existan consecuencias de política que corrijan ese tema”, afirma Andemos.Otro aspecto es el tema de las muertes anuales en el país por enfermedades pulmonares y contaminación no se revisó, cuánto le cuestan al país esas vidas y cómo con un proyecto fiscal se pueden prevenir.“Dicho lo anterior, debo decir que los impuestos el sector los recibe bien, no hay mayores problemas, pues básicamente lo que cambia es expresar los valores en UVT”, relata García. “Se incluye el impuesto ambiental, pero requiere una revisión más de fondo, que no habrá tiempo de hacer, por lo menos en el actual proyecto. No se entiende que  no mande señales claras de que se va a desincentivar el uso de vehículos viejos  vía el impuesto anual y el ambiental”, sostiene.Oliverio García agrega que tampoco incluye que se revisará el impoconsumo a los vehículos híbridos, pues mantiene iguales impuestos a los vehículos de combustión; cuando es evidente que los primeros contaminan mucho menos. De otra parte, el gremio sostiene que hubiera podido ser una oportunidad para premiar energías limpias e incrementar todos los impuestos en combustibles fósiles como una medida para desincentivar esa movilidad. Relacionado: (Impuesto al carbono desincentivará el uso a combustibles fósiles)Por ejemplo, la reforma habría podido llevar a carros de 0 a 5 años impuesto ambiental cero; de 6 a 10 años tarifa reducida y de 10 en adelante tarifa plena. “En un país en el que el 60 % de su parque automotor tiene más de 10 años, debería dejarse pico y placa para carros con más de 10 años y se descongestionan los centros urbanos, cumpliendo también con el tema ambiental”, afirma la  ‎Asociación Nacional de Movilidad Sostenible (Andemos).“Se nos olvida que promover la modernización del parque automotor es también impulsar la economía y la productividad del país. Hoy el impacto de las cadenas de valor del sector transporte en el PIB del país es de 52 billones de pesos año, con un parque automotor viejo, en el caso del transporte de carga la obsolescencia es de 17 años, es decir que el año promedio de las vehículos de carga es 2004, imagínese una política pública que reduzca a 10 años  el promedio de las máquinas, el impacto del sector según los estudios que Andemos realizó con Fedesarrollo puede llegar fácil a 100 billones de pesos año”, concluye.",Portafolio
1,Dólar en Colombia rompió la barrera de los $3.700 este martes,2021-04-27,"
El dólar en el mercado colombiano superó este martes el nivel sicológico de los $3.700, al registrar un incremento de casi 60 pesos. De acuerdo con la Bolsa de Valores, al cierre de la jornada la divisa extranjera se negoció en un precio promedio de $3.717, lo que representa una subida de 58 pesos respecto a la TRM fijada para hoy en $3.659. 
",Portafolio
2,Inician las discusiones de la reforma tributaria en el Congreso,2021-04-27,"
En medio de las múltiples propuestas y contradictores, esta mañana el ministro de Hacienda, Alberto Carrasquilla, presentó ante las comisiones conjuntas de Senado y Cámara el proyecto que se radicó hace unas semanas.(Los otros caminos que podría explorar la reforma tributaria). 
De acuerdo con Carrasquilla, desde el Gobierno están dispuestos a llegar a un consenso y llamó la atención sobre la urgencia de tramitar una reforma que aumente los ingresos del Gobierno y que también pueda financiar los programas sociales. Asimismo, Lisando Junco, director de la Dian, resaltó que el proyecto también tiene un plan para reducir el contrabando, la evasión de impuestos e impulsar la facturación electrónica en el país. Ante la presentación de la propuesta, que la misma que planteó hace un par de semanas, durante el debate los congresistas anunciaron que todavía no tenían radicada ninguna proposición, por lo que se está a la expectativa de las ponencias que se presentarán desde el Legislativo en los próximos días.",Portafolio
3,"Empresas y contratistas, a reportar cuentas de cobros a la Dian",2021-04-27,"
A partir del próximo 1 de julio, entrará en vigencia un nuevo mecanismo de control de la Dian con el que se busca la obligatoriedad de reportar lo que ahora se conoce como documento soporte en adquisiciones.
Se trata de que las empresas y contratistas reporten las cuentas de cobro en menos de 72 horas de la transacción, a partir del próximo 1 de julio.  La medida establece, mediante la Resolución número 000012 de la Dian, del pasado 9 de febrero, que de ahora en adelante las empresas que tengan dentro de su operación contratistas, y a través de estos reciba cuentas de cobro, tendrán que notificar por medio electrónico a esta entidad, el envío de este documento, soporte en adquisiciones, con el fin de dejar una trazabilidad de ellas.   La medida, no solo incluye las cuentas de cobro sino, a su vez, una lista de diferentes documentos que se emitían con la denominación de documento equivalente. Por su parte, la resolución deja claro que las empresas también tendrán que reportar el recibo de estas cuentas frente a la Dian, en un término no mayor a las 72 horas, y a la vez quedan obligadas a emitirle al contratista un recibido, mediante un documento que se llamará Soporte de Contratación.  La nueva medida de control se convierte en un nuevo reto para las empresas, a las que les ha costado bastante tiempo y recursos, la implementación de la facturación electrónica, y para las cuales vienen llegando al rescate nuevas plataformas digitales, que ofrecerán servicios para el reporte de estos documentos que les evitarán a las organizaciones la compra de nueva tecnología o la contratación de más personal para la recepción, archivo, envío del soporte de contratación, así como la engorrosa gestión interna de las cuentas de cobro.  Carlos Tocora Manrique, Director Comercial de miproveedor.com, una de las plataformas de clientes y proveedores más grandes de Latinoamérica, con operación en Colombia, México, Perú, Chile y Brasil, y la cual ya ha comenzado a ofrecer sus servicios para la gestión de las cuentas de cobro, asegura que “en su momento, la implementación de la facturación electrónica tomó a muchos por sorpresa, pero ahora estamos preparados tecnológicamente para prestar este servicio a las empresas, con la ventaja de habernos adelantado y de haber creado una herramienta específica que contempla todo el ciclo de vida de las cuentas de cobro y adicional permite generar ahorros significativos en la gestión mencionada”. Plataformas como esta pionera, que se conocerá en el mercado colombiano como MiFacturaRadicada.com, tendrán la capacidad de recibir y entregar a la Dian las cuentas de cobro, generar el soporte de adquisición, verificar las referencias al contrato, asociar a las órdenes de compra en el ERP, generar conformidades de entrega y gestionar las aprobaciones o rechazos por parte de las áreas administrativas y gerenciales, y todo en tiempo real.  Según el director comercial de miproveedor.com, “con esta tecnología, las empresas podrán ahorrar hasta un 95% en el costo de la gestión de una cuenta de cobro, y las más robustas como la nuestra, tendrán la capacidad de integrarse con las plataformas ERP (Enterprise Resource Planning – Planificación de Recursos Empresariales) permitiendo la integración de operaciones de contabilidad, administrativas, de producción, logística, inventario y envíos, con una ventaja adicional que es la del costo de gestión por factura, que en nuestro caso puede llegar a ser hasta de solo un dólar”.   Con esta nueva norma, la Dian, no sólo pretende controlar la información acerca de los ingresos de los proveedores, ya sean personas naturales o jurídicas, sino tener un soporte para confrontar con las empresas a la hora de declarar sus ingresos, pero además brindará la posibilidad, a las organizaciones de operar en regla, y así mismo, de convertir las cuentas de cobro en títulos valores, negociables en el mercado financiero en el esquema de factoring social.  ",Portafolio
4,¿Dónde puede reclamar la devolución del IVA?,2021-04-27,"
Desde este 22 de abril y hasta el 11 de mayo, los colombianos que fueron seleccionados por los programas de ‘Familias en Acción’ y ‘Colombia Mayor’, en los territorios de Bogotá, Cundinamarca, Antioquia, Putumayo, Nariño, Cauca, Amazonas, Boyacá, Tolima, Huila, Santander, Norte de Santander y Cesar podrán acceder a la devolución del IVA, a través de la red aliada de SuperGIROS – Su Red.(Así será el pago de Colombia mayor, jóvenes en acción y regreso de IVA). 
Esta iniciativa, que comenzó en el 2020 como medida de apoyo económico para aquellos connacionales en situación de vulnerabilidad, benefició durante el año pasado a 700 mil hogares y 300.000 mil personas de la lista de priorizados del programa ‘Colombia Mayor’. Para este 2021, el reto del Gobierno nacional es duplicar esta cifra y lograr que dos millones de ciudadanos puedan recibir este mecanismo de compensación.  Para conocer si usted es beneficiario de este dinero, ingrese a las páginas de devolución del IVA: www.devolucioniva.prosperidadsocial.gov.co/ o en www.supergiros.com.co o en www.sured.com.co y acérquese a los puntos autorizado para el pago, en donde recibirá $76.000 pesos, correspondientes al gasto del IVA.Las marcas autorizadas y aliadas de SuperGIROS son: Bogotá y Cundinamarca: Su Red / Paga Todo.Antioquia: Su Red/GanaPutumayo: Su RedNariño: Su RedCauca: Su Red/AcertemosBoyacá y Amazonas: Su Red/JerTolima: Su Red/GanaGanaHuila: Su Red/ Su ChanceNorte de Santander: Su Red/Apuestas Cúcuta 75Santander: Su Red/La PerlaCesar: Su Red/Red de Servicios del Cesar",Portafolio
5,Consejo Gremial reclama responsabilidad a organizadores del paro,2021-04-27,"
En un mensaje, el máximo órgano que reúne a los gremios de la producción hizo un llamado para que evalúen los efectos que tendría realizar la jornada del miércoles en medio del tercer pico de la pandemia.(Lea: Empresarios de Bogotá hacen llamado a replantear protestas)
“Hacemos un llamado a los organizadores y a las autoridades para que evalúen seriamente y de forma responsable los efectos que sobre la salud, no solo de los convocados sino también de sus familias, puede llegar a tener esta manifestación, así mismo que asuman las responsabilidades de las consecuencias que podrían tener dichas movilizaciones”, dijo.Dijo que, esto, en vista de que  a la fecha las cifras muestran un panorama desalentador en materia de Covid-19, toda vez que los casos activos ascienden a más de 100 mil y las cifras de personas fallecidas superan las 70 mil.“Reconocemos el derecho constitucional de los colombianos a la protesta social, a manifestarse pública y pacíficamente, así como a la libertad de expresión, asociación y participación, respetando los derechos de terceros. No obstante, consideramos, que este derecho nunca podrá estar por encima del derecho, también constitucional, a la vida y a la salud de los colombianos”, recalcó.",Portafolio
6,Empresarios de Bogotá hacen llamado a replantear protestas,2021-04-27,"
El Comité Intergremial de Bogotá y Cundinamarca, órgano colectivo integrado por 19 entidades del orden gremial, asociaciones de profesionales y organizaciones cívicas pidió que se evite cualquier aglomeración para frenar el avance de la pandemia que tiene en alerta roja hospitalaria a la ciudad.(Lea: Centrales obreras mantienen convocatoria de paro para este 28 de abril)
En este sentido, dijo que  “invitamos a quienes buscan el ejercicio del legítimo derecho a la protesta social a través de manifestaciones pacíficas, a replantear las movilizaciones, considerando la grave afectación que vivimos en estos momentos”.El Comité también planteó la necesidad de que  las autoridades distritales fortalezcan el  transporte público con mayor disposición de rutas y buses de Transmilenio, impidan actividades que promuevan la presencia masiva de  personas y sigan con el programa de vacunación y la medición diaria del comportamiento del virus, para que se logre el descenso el ritmo de contagio.“Bogotá atraviesa uno de los momentos más difíciles de la pandemia, alcanzando una ocupación UCI por COVID del 91 por ciento que hizo pasar a la ciudad de alerta naranja a alerta roja hospitalaria y obligó a la definición de nuevas medidas con niveles estrictos de confinamiento y restricciones de movilidad”, señaló.Y, complementó, que pese a que las medidas limitan  la recuperación económica y social de Bogotá es necesario acatar con rigor los lineamientos, para reducir los impactos del tercer pico, disminuir la aceleración de la transmisión comunitaria del Covid-19 y evitar el colapso del sistema hospitalario de la ciudad.",Portafolio
7,"
Multinacional Essity compra otro 44 % de Familia y alcanza el 94 %",2021-04-27,"

La multinacional sueca Essity anunció la compra de otro 44 por ciento de  Productos Familia, con lo cual alcanza un control del 94 por ciento de esta compañía cuya sede está en Medellín. Esta multinacional es accionista de la firma colombiana desde 1985 y hasta hoy controlaba el 50 por ciento de su capital accionario.(Le puede interesar, además: Así puede aplicar a una de las 234 vacantes que ofrece Grupo Argos)La compañía está valorada en unos 1.540 millones de dólares sobre una base libre de deudas, indicaron voceros de la multinacional sueca a través de un comunicado en el que además se advierte que la adquisición se financiará en su totalidad con deuda, en tanto Essity dispone de líneas de crédito comprometidas. ""Essity sigue plenamente comprometida con la conservación de una calificación de grado de inversión sólida. El cierre de la transacción está sujeto a las aprobaciones reglamentarias habituales y se espera que se finalice en la segunda mitad de 2021"", indicó la empresa.(Lea también: Prepárese, hoy inicia la devolución de IVA a 2 millones de colombianos)“Familia es una compañía muy innovadora y enfocada en el consumidor, y nuestra sólida relación data de hace más de 30 años. Con esta adquisición, estamos construyendo una plataforma más fuerte para acelerar el crecimiento en Latinoamérica, mejorar la rentabilidad y eficiencia, así como para acelerar la transformación digital”, afirma Magnus Groth, presidente y CEO de Essity.Por su parte, Andrés Felipe Gómez, presidente del Grupo Familia, dijo que con esta transacción se inicia un nuevo capítulo en la historia del Grupo Familia.“Sabemos que trabajando más de cerca con Essity podremos apalancar la innovación, construir marcas más fuertes y sostenibles, acelerar la transformación digital y fomentar una cultura más ágil y emprendedora. Esta es una gran oportunidad de crecimiento profesional para todos nuestros colaboradores en una organización global. Además, esta es una transacción que sin duda beneficiará a nuestros clientes y consumidores, a las comunidades donde actualmente operamos, a nuestros proveedores y a todos nuestros aliados, en la medida en que podremos llevar bienestar a más personas e instituciones en América Latina”,  señaló el directivo.Líderes del mercadoGrupo Familia es una compañía de origen colombiano, fundada en 1958 por John Gómez Restrepo y Mario Uribe Uribe. Es líder en el mercado de higiene y salud, con presencia en más de 12 países de Suramérica y el Caribe, con marcas como Nosotras, Pequeñín, Familia y Familia Institucional.Por su parte, Essity es una compañía de origen sueco, listada en la Bolsa de Estocolmo, líder en el mercado de higiene y salud en más de 150 países con marcas globales como TENA y Tork, y otras como Leukoplast, Regio, Saba, Tempo, Vinda y Zewa. Cuenta con cerca de 46.000 empleados en todo el mundo, incluyendo alrededor de 10.000 empleados en Latinoamérica.(Puede seguir leyendo: ¿Cómo saber si es beneficiario de la devolución del IVA?)ECONOMÍA Y NEGOCIOS

",El tiempo
8,"
FDN asesorará la venta de la participación de la Nación en ISA",2021-04-27,"

La Financiera de Desarrollo Nacional (FDN) suscribió un Contrato Interadministrativo con el Ministerio de Hacienda, el cual tiene por objeto “Asesorar de manera integral en la estructuración e implementación de la enajenación de la participación accionaria de propiedad de la Nación en Interconexión eléctrica S.A. E.S.P (ISA)”.(Lea también: Ojalá que covid cambie lógica de políticos para discutir reforma: Ocde).“ISA es una empresa con negocios en múltiples sectores, con un gran tamaño de activos, número de filiales y subsidiarias en Latinoamérica, con una posición estratégica para el país, por tanto, la asesoría para la venta de la participación de la Nación tiene un alto grado de complejidad que requiere de una entidad con gran capacidad técnica, liderazgo transaccional y articulación de actores en el sector público y privado. Por esta razón, la FDN fue seleccionada por la citada cartera para cumplir este rol. Pondremos toda nuestra experiencia y conocimiento para culminar con éxito esta importante transacción”, afirmó Francisco Lozano, director de la financiera.(Le puede interesar, además: 67,6 % de firmas de EE.UU. en Colombia, listas a vacunar trabajadores). La asesoría integral de la FDN contempla la debida diligencia de ISA y sus filiales ubicadas en diferentes jurisdicciones, la valoración de las acciones, análisis de la estructura de la transacción, implementación y cierre del proceso de enajenación. Para lo anterior, la entidad trabajará en conjunto con un equipo conformado, entre otros, por bancas de inversión y asesores jurídicos con amplia trayectoria y reconocimiento en el mercado, quienes trabajarán con el objetivo de lograr el cierre de la transacción.ISA es una empresa de servicios públicos mixta, con participación de la Nación del 51,41 por ciento del capital suscrito y en circulación. Se dedica a las actividades de administración, operación y transporte en los mercados de energía, telecomunicaciones, concesiones viales y gestión inteligente de sistemas de tiempo real. Cuenta con más de 40 filiales y subsidiarias, distribuidas en Colombia, Brasil, Perú, Chile, Bolivia, Ecuador, Argentina, Panamá y Centroamérica.La FDN es un banco de desarrollo de régimen privado con gran fortaleza técnica y experiencia en la estructuración de transacciones complejas para la vinculación de capital privado y/o para lograr la financiación exitosa de proyectos de infraestructura. Ha desarrollado estructuraciones integrales para proyectos y transacciones en diferentes.La suscripción del contrato fue autorizada por la Junta Directiva de la FDN en línea con los estatutos sociales, teniendo en cuenta que se trata de una transacción con partes relacionadas al ser el Ministerio el propietario del 99,99 por cientode las acciones del Grupo Bicentenario (accionista mayoritario de la FDN).El valor del contrato supera los 23.000 millones de pesos, y su duración será hasta el cierre del proceso de enajenación, sin que supere el 31 de diciembre de 2021.

",El tiempo
9,"
67,6 % de firmas de EE.UU. en Colombia, listas a vacunar trabajadores",2021-04-27,"

Cerca de 7 de cada 10 empresas estadounidenses con presencia en Colombia y afiliadas a la Cámara de Comercio Colombo Americana (AmCham), cuentan con recursos disponibles para la compra de un lote de vacunas destinadas a inmunizar, de manera gratuita, a sus trabajadores y así contribuir al propósito nacional de inmunizar a los colombianos contra el covid-19.(Le puede interesar, además: Ojalá que covid cambie lógica de políticos para discutir reforma: Ocde)Según la información que suministraron las empresas, y en un primer cálculo, estarían dispuestas a adquirir cerca de 100.000 vacunas tan pronto como esté la reglamentación oficial para ello y se puedan hacer las negociaciones con los laboratorios que producen la vacuna y cuentan con el visto bueno del Invima para su aplicación en Colombia.​(Lea también: Consulte si es beneficiario de algún subsidio a través de Bancolombia)“Las empresas consideran que es de vital importancia la protección de su equipo humano, la gran mayoría de ellas se han visto afectadas por los devastadores efectos económicos de la pandemia y aún así, han hecho grandes esfuerzos por mantener los empleos y las condiciones laborales por lo que aportar, en línea con las directrices del Ministerio de Salud, para que sea más rápida la vacunación, es una de las principales prioridades”, explicó María Claudia Lacouture, directora de AmCham Colombia.Así mismo, comenta que si bien con la resolución se hace un esfuerzo importante, queda pendiente la limitante de lograr los acuerdos entre empresas si se tiene en cuenta que cada parte debe cumplir con los compromisos establecidos en el derecho comercial, lo que limitaría a las farmacéuticas extender la indemnidad a los privados y esto podría demorar las negociaciones.De hecho, los empresarios que contestaron la encuesta, señalaron que en promedio el 70 por ciento de su equipo de trabajo sigue en trabajo en casa como medida preventiva para evitar una mayor exposición al virus.De otro lado, la aplicación para domicilios Rappi manifestó: “Iniciamos conversaciones con funcionarios del Gobierno Nacional y actores privados del sector salud con el fin de lograr al menos 10.000 vacunas para los repartidores que prestan su servicio a través de nuestra aplicación de acuerdo con las normas y criterios establecidos por el Gobierno en el Plan Nacional de Vacunación”.Señaló que una vez se aclaren dudas sobre el proceso, dará a conocer su parte del plan para ejecutarlo.ECONOMÍA Y NEGOCIOSContinúe leyendo:- Así puede aplicar a una de las 234 vacantes que ofrece Grupo Argos- ¿Claves del éxito? Hábitos que tienen los millonarios

",El tiempo
