,titulo,fecha,texto,periodico
0,"Restricciones en Colombia, de las más fuertes del mundo",2021-04-18,"
Aunque este lunes en Bogotá termina el nuevo ciclo de confinamiento total que estuvo en vigor durante el fin de semana, el conjunto de restricciones que en estos momentos aplica Colombia se encuentra entre los más restrictivos de todo el mundo, incluso por encima de otros países que están aún ejecutando fuertes cierres.(¿Qué otras medidas vienen para Bogotá tras el fin de esta cuarentena?). 
Y es que según el índice que elabora el proveedor de datos de mercado Refinitiv (propiedad de London Stock Exchange y antes subsidiaria de Reuters) desde el inicio de la pandemia, Colombia tiene en la actualidad las medidas más restrictivas entre un amplio grupo de países de todo el mundo, solo superado por el dato que presenta Uruguay.Así, en una escala de 0 a 100 (el nivel más restrictivo), en la que se incluyen todos los tipos de medidas que se están aplicando en cada país, Colombia presentó hasta el viernes pasado un índice de 81,48 puntos, una cifra tan solo por debajo de los 87,04 puntos que registra Uruguay. (Claudia López pedirá desmontar el ‘Pico y Cédula’ en Bogotá). No obstante, cabe decir que Uruguay fortaleció sus medidas desde el 15 de marzo, mientras que Colombia ha estado por encima de los 80 puntos desde el 7 de enero sin interrupción. De hecho, entre los países analizados, no hay ningún otro que se haya mantenido todo el trimestre por encima de esos 80 puntos, como sí lo ha hecho Colombia, por lo que se podría considerar que las restricciones impuestas a nivel nacional han sido las más duras durante el 2021. Este ha sido uno de los argumentos que han utilizado expertos y centros de estudio para criticar las últimas medidas que se han adoptado en Colombia, al asegurar que al tiempo que los confinamientos tienen graves impactos en la actividad económica, no han sido tan eficientes para reducir los contagios.Al revisar la situación actual frente a la de otros países con medidas fuertes de confinamiento, sus indicadores están por debajo del colombiano. Es el caso, por poner algunos ejemplos, de Italia (78,7), Reino Unido (66,2) o Chile (79,17). De igual forma, Alemania, que anunció nuevos confinamientos la semana pasada, cuenta hoy en día con una índice de 75, superior a los 69,44 puntos de España o las 56,94 unidades de Estados Unidos. (“El ‘Pico y Cédula’ es una medida inequitativa”: Fenalco). Así, entre los que en estos momentos están imponiendo mayores restricciones se encuentra Francia (78,7), Marruecos (76,85), Turquía (72,22), Argentina (71,76) o Brasil (70,83). CURVA EN LA PANDEMIA Más allá del comportamiento del índice de Refinitiv durante 2021, cabe apuntar por otro lado que el nivel actual de restricciones en Colombia no está tan lejos de los confinamientos más fuertes que se vieron al inicio de la pandemia, y que iniciaron con un indicador de 87,96 puntos desde el 24 de marzo de 2020, y repuntaron hasta un tope de 90,74 puntos en las semanas siguientes a esa fecha.Pero también frente a lo que se ha dicho, el año pasado otros países impusieron confinamientos más restrictivos que los que se vieron en el país. Un ejemplo de ello es Italia, una de las primeras naciones occidentales que decidió cerrar por completo al inicio de la pandemia y cuya cifra en el indicador se mantuvo casi en 94 puntos hasta mayo. También los casos de India y Argentina, que llegaron a registrar el nivel máximo de 100 entre marzo y abril. De igual forma, otros países tuvieron índices muy inferiores. Por ejemplo, Estados Unidos no ha pasado de 75,46 puntos, Japón alcanzó un nivel máximo de 50,93 unidades, Suecia no sobrepasó los 64,81 enteros. China, donde se habría originado el coronavirus, marcó su nivel máximo de restricciones en los 81,94 puntos, cifra similar a la actual en Colombia, que coincidió con el cierre total de regiones como Wuhan. Por último, destacar que la evolución de Colombia durante el 2020 muestra cómo el país tuvo fuertes restricciones desde el inicio de la pandemia hasta septiembre, cuando se empezaron a flexibilizar las medidas (71,3 puntos), en octubre se abrió más el país (65,74 enteros), y el mínimo desde marzo del año pasado fue un índice de 60,19 puntos entre finales de noviembre e inicio de 2021.​",Portafolio
1,Colombia superó las 68.000 muertes por coronavirus,2021-04-18,"
El total de contagios de coronavirus en Colombia se elevó este domingo a 2.652.947 luego de que el Ministerio de Salud confirmó 16.871 nuevos casos de Covid, tras procesar 47.374 pruebas PCR y 22.698 de antígenos en las últimas 24 horas.Así mismo, se reportaron 397 fallecimientos más por Covid-19, con lo que la cifra de muertes llegó a 68.328. Por su parte, el número de recuperados ascendió a 2.471.498.De acuerdo con las autoridades de salud, el número de casos activos se ubicó este domingo en 104.137. 
#ReporteCOVID19 18 de abril:13.610 recuperados16.871 nuevos casos397 fallecidosMuestras: 70.072PCR: 47.374Antígeno: 22.698Total:2.471.498 recuperados2.652.947 casos 68.328 fallecidos 13.844.971 muestras procesadas104.137 casos activoshttps://t.co/SiKTpTleFm pic.twitter.com/OgO64bpE2k— MinSaludCol (@MinSaludCol) April 18, 2021 ",Portafolio
2,¿Qué otras medidas vienen para Bogotá tras el fin de esta cuarentena?,2021-04-18,"
Este lunes 19 de abril terminará en Bogotá la segunda de las tres cuarentenas bajo el modelo 4x3 aprobadas por el Comité Epidemiológico. Así las cosas, la capital del país repetirá el mismo esquema de cuarentena general que rigió durante dos fin de semana a partir del jueves 22 de abril a las 11:59 p.m. hasta el lunes 26 de abril a las 4 a.m.(Cepas británica y brasileña de Covid ya circulan en Bogotá). 
No obstante, la Alcaldía y el Comité analizarán esta semana el impacto de la medida y si es necesario desmontarla o mantenerla. Así mismo, se evaluará si no se extiende el ‘Pico y Cédula’ que estará vigente hasta este lunes 19 de abril. La alcaldesa Claudia López dijo la semana pasada que se está evaluando que no se aplique esta restricción en los días de actividad de esta semana. (Claudia López pedirá desmontar el ‘Pico y Cédula’ en Bogotá). Recuerde que no acatar las medidas decretadas por el Distrito podrá ocasionarle una multa o sanción. Por no usar tapabocas podrán imponerle una sanción tipo 4, con un costo de 936.320 pesos. Este mismo valor tendrá que pagar si las autoridades lo encuentran participando o realizando fiestas clandestinas. Además, si abre comercio no relacionado con servicios esenciales podrá tener un comparendo de 969.094 pesos.Por #AlertaRoja de UCIs continuaremos en Bogotá con el esquema 4/3 por dos semana más.- #CuarentenaGeneral 3 días desde este jueves media noche hasta el lunes 19 a las 4AM.- Y nuevamente de 23 a 26 de abril- #PicoYCedula continúa- Próximo lunes comité epidemiológico pic.twitter.com/WcnZYeML2O— Luis Ernesto Gómez👟 (@LuisErnestoGL) April 13, 2021 La alcaldesa Claudia López explicó que están aumentando las solicitudes de camas UCI por pacientes con Covid-19. Según lo reportado por SaludData, en  la ocupación de camas UCI para enfermedades generales está en  81.4 por ciento y las de pacientes Covid-19 en  79.8 por ciento. ",Portafolio
3,Colombia completa cinco días con más de 300 muertes diarias de Covid,2021-04-18,"
El total de contagios de coronavirus en Colombia se elevó este sábado a 2.636.076 luego de que el Ministerio de Salud confirmó 16.654 nuevos casos de Covid, tras procesar 55.723 pruebas PCR y 25.773 de antígenos en las últimas 24 horas.Así mismo, se reportaron 367 fallecimientos más por Covid-19, con lo que la cifra de muertes llegó a 67.931. Por su parte, el número de recuperados ascendió a 2.457.888.De acuerdo con las autoridades de salud, el número de casos activos se ubicó este sábado en 101.303. 
#ReporteCOVID19 17 de abril:15.435 recuperados16.654 nuevos casos367 fallecidosMuestras: 81.496PCR: 55.723Antígeno: 25.773Total:2.457.888 recuperados2.636.076 casos 67.931 fallecidos 13.774.899 muestras procesadas101.303 casos activoshttps://t.co/SiKTpTleFm pic.twitter.com/NkVopp42Jz— MinSaludCol (@MinSaludCol) April 17, 2021 ",Portafolio
4,Colombia prohíbe la exportación e importación de asbesto,2021-04-18,"
El presidente de Colombia, Iván Duque, firmó este sábado un decreto que prohíbe la importación y exportación de asbesto, un mineral cuyo uso en el país está vetado desde el primero de enero pasado.(Uso del Asbesto en construcción sigue generando polémica). 
“Con @MincomercioCo expedimos el Decreto 402, el cual desarrolla la Ley 1968 de 2019, y en el que se establecen disposiciones relacionadas con prohibición de importación y exportación de asbesto, a fin de proteger la vida y salud de trabajadores y los colombianos en general”, dijo el presidente Iván Duque en Twitter.Con @MincomercioCo expedimos el Decreto 402, el cual desarrolla la Ley 1968 de 2019, y en el que se establecen disposiciones relacionadas con prohibición de importación y exportación de asbesto, a fin de proteger la vida y salud de trabajadores y los colombianos en general. (1/2)— Iván Duque 🇨🇴 (@IvanDuque) April 17, 2021 El decreto también prohíbe en Colombia todos los productos elaborados en el territorio nacional con este material y busca, al igual que la ley que veta su uso, rendir homenaje a Ana Cecilia Niño, una abanderada de la lucha contra el uso de este mineral y que falleció por un cáncer en enero de 2017 a los 42 años. Duque recordó que “la Ley 1968 o Ley Ana Cecilia Niño, en homenaje a esta luchadora contra el uso del asbesto, prohíbe producción y utilización de estos productos, por lo que desde el primero de enero de 2021 no se pueden instalar y utilizar, a pesar de que se hayan importado antes de la vigencia”.El asbesto es un mineral fibroso utilizado principalmente en la fabricación de tejas, baldosas, papel, en los frenos de los vehículos, materias textiles termorresistentes, envases, paquetería, revestimientos y pinturas, entre otros. La exposición a este material aumenta las posibilidades de sufrir cáncer de pulmón, hígado, laringe, así como gastrointestinal y sus efectos pueden perdurar en el cuerpo entre 20 y 30 años. ALCANCE DEL DECRETO El decreto firmado por Duque aplica a todas las personas, tanto naturales como jurídicas, que realicen actividades de importación o exportación de cualquier variedad de asbesto y de los productos elaborados con él. Las autoridades administrativas y de control se encargarán de ""actuar dentro del ámbito de sus competencias para controlar y coadyuvar a que las actividades prohibidas relacionadas con cualquier variedad de asbesto y de los productos con él elaborados no ocurran en el territorio nacional"", agregó la Presidencia en un comunicado. Igualmente señala que el asbesto y los objetos hechos con este mineral que hayan sido importados e instalados antes del 1 de enero de 2021 ""serán objeto de la política pública de sustitución a que se refiere la Ley 1968 de 2019"". ""A partir de esa fecha no podrán instalarse y utilizarse dichos materiales aun cuando hayan sido importados, embarcados e ingresados a zona franca con anterioridad a la entrada en vigencia del presente Decreto"", detalló la información. EFE ",Portafolio
5,Reactivación aérea: Aerocivil aprobó 47 nuevas rutas ,2021-04-18,"
Desde septiembre del año pasado, cuando el Gobierno permitió el reinicio de las operaciones aéreas en el país, luego de la pausa para mitigar la propagación del Covid-19, la Aeronáutica Civil ha desarrollado un intenso trabajo para fortalecer la conectividad del país tanto a nivel nacional como internacional.(Las rutas aéreas desde Colombia al exterior han caído 10,7% en marzo). 
Ante esto ha autorizado 32 nuevas rutas internacionales y 15 nacionales en estos meses, que brindarán más opciones de transporte aéreo a los colombianos.“Para el Sector Transporte ha sido prioritario avanzar en la reactivación segura del transporte aéreo en el país, asegurándose que tanto aeropuertos como aerolíneas y usuarios cumplan los protocolos de bioseguridad. Paralelo a esto, la Aerocivil desarrolló las acciones necesarias para seguir ampliando la oferta de rutas para los colombianos, para seguir aportando al turismo y la conectividad. Estas 47 nuevas opciones para viajar tanto a nivel nacional como internacional son una muestra del compromiso del Gobierno con el sector aéreo, fundamental para la recuperación económica del país”, afirmó Ángela María Orozco, ministra de Transporte. (Colombia entregó autorización para 40 nuevas rutas aéreas). De las 32 nuevas rutas internacionales solicitadas para el transporte de pasajeros, cinco le fueron autorizadas a Copa Colombia y/o Wingo, conectando a Bogotá con Lima, Medellín con Caracas y Cancún, y Cali con Ciudad de México y Guayaquil, todas ellas con siete frecuencias semanales. Así mismo, American Airlines cuenta con tres nuevas rutas que conectan a Nueva York con Bogotá, Medellín y Cali, cada una con una frecuencia semanal. A JetBlue, la Aerocivil le autorizó tres rutas que conectan a Nueva York con Bogotá, Nueva York con Bogotá – Fort Lauderdale y a Newark con Cartagena, cada una de ellas con siete frecuencias semanales. A la aerolínea Jetsmart se le autorizaron dos rutas con siete frecuencias semanales cada una, conectando a Santiago de Chile con Cúcuta y Medellín. De igual forma, a la empresa Avianca podrá operar dos nuevas rutas desde Medellín a Cancún y a Punta Cana, con siete frecuencias cada una. También se le autorizaron dos rutas a la aerolínea Viva Air, que conectan Bogotá con Cancún y Ciudad de México, cada una con siete frecuencias semanales. Finalmente, para la operación internacional, la aerolínea Latam Airlines operará la ruta Santiago de Chile – Bogotá – Miami, con siete frecuencias semanales.(El país consolida su red aérea con EE. UU.).“Con la autorización de las nuevas rutas y de nuevas empresas para la prestación del servicio de Transporte Aéreo Internacional de Pasajeros, Correo y Carga, el Gobierno Nacional y la Aeronáutica Civil reafirman su compromiso y la importancia de mantener y fortalecer la conectividad aérea del país. Entendemos que es una fuente de reactivación de la economía, el turismo y el comercio no solo al interior del país sino a nivel internacional, y por eso trabajamos constantemente en brindar mayores opciones”, manifestó Juan Carlos Salazar Gómez, Director General de la Aeronáutica Civil. Nuevas rutas nacionales Con el objetivo de fortalecer la conectividad de diferentes regiones del país por vía aérea, la Aeronáutica Civil autorizó rutas aéreas a las siguientes aerolíneas: Viva Air, que cuenta ahora con cinco nuevas rutas, cada una con siete frecuencias semanales. Estas conectan a Medellín con Bucaramanga, Pasto, Pereira y Riohacha, y a Pereira con San Andrés. La aerolínea Avianca fue autorizada para cubrir cuatro rutas que unen a Bucaramanga con Santa Marta y Cartagena, Cali con Santa Marta, y Pereira con Santa Marta, cada una con siete frecuencias semanales. EasyFly tiene ahora dos nuevas rutas con siete frecuencias semanales, conectando a Bogotá con Arauca y a Cali con Guapi. También le fue autorizada una ruta que une a Cali con Montería, con tres frecuencias semanales, siendo esta una ruta pionera entre estas dos ciudades. Por último, a Latam se le autorizaron tres rutas con 14 frecuencias semanales, que unen a Bogotá con Armenia y Pasto y a Cali con Barranquilla. TRANSPORTE DE CARGA Buscando fortalecer el abastecimiento de productos a distintas zonas del país y el comercio internacional, y así favorecer la reactivación económica de Colombia, se le autorizaron a la aerolínea Tampa Cargo 14 nuevas rutas, con dos frecuencias semanales. Las rutas a las que se les dio vía libre son: • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Santa Cruz de la Sierra en Bolivia. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Asunción, Paraguay. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Sao Pablo (aeropuertos Viracopos y Guarulhos) y/o Curitiba y/o Manaos en Brasil. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Montevideo, Uruguay. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Lima, Perú. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Quito, Ecuador. • Desde Colombia las rutas Bogotá y/o Medellín y/o Barranquilla y/o Cali hacia Santiago de Chile, Chile. APROBACIONES DEL COMITÉ EVALUADOR DE PROYECTOS AEROCOMERCIALES Así mismo, el Comité Evaluador de Proyectos Aerocomerciales (CEPA) en sesión 96, aprobó prestar el servicio de Transporte Aéreo Internacional de Pasajeros, Correo y Carga en Colombia, a los siguientes operadores: A Aeroenlaces Nacionales Sociedad Anónima de Capital Variable (Vivaaerobus), la ruta México - Bogotá - México con siete frecuencias semanales. A Concesionaria Vuela Compañía de Aviación S.A.P. Volaris, las rutas Ciudad de México - Bogotá - Ciudad de México, con cuatro frecuencias semanales; Cancún - Bogotá - Cancún, con tres frecuencias semanales; Ciudad de México - Medellín - Ciudad de México, con dos frecuencias semanales, y Cancún - Medellín - Cancún, con dos frecuencias semanales.A Vuela Aviación, S.A. (Volaris Costa Rica), las rutas San José de Costa Rica - Bogotá - San José de Costa Rica, con tres frecuencias semanales, y San José de Costa Rica - Medellín - San José de Costa Rica, con dos frecuencias semanales. Finalmente, a United Caribbean Airlines, las rutas Curazao - Medellín – Curazao, con dos frecuencias semanales, y Curazao - Barranquilla - Curazao con dos frecuencias semanales. La Aeronáutica Civil seguirá analizando las solicitudes que reciba por parte de los operadores para nuevas rutas, buscando seguir fortaleciendo la conectividad aérea de Colombia y así apoyar la reactivación económica del país.",Portafolio
6,Cepas británica y brasileña de Covid ya circulan en Bogotá,2021-04-18,"
Horas después de que el Gobierno Nacional confirmara la presencia en el país de la cepa británica del Sars-CoV-2, Bogotá informó que esta variante también fue hallada en 6 genomas en la capital del país.(Confirman presencia de la cepa británica en Colombia). 
Además, el Laboratorio de Salud Pública de Bogotá y el laboratorio Gencore de la Universidad de los Andes informaron sobre la presencia de 5 genomas de la variante P1, de Brasil.#ATENTOS Se confirma la presencia de las variantes británica y brasilera de COVID-19 en Bogotá. El secretario de Salud @AlejandroGL2014 se refiere a esta información⬇️ pic.twitter.com/cgcCdGPE1z— Secretaría Distrital de Salud (@SectorSalud) April 17, 2021 Las 11 secuencias fueron sometidas a revisión de la Iniciativa Internacional para Compartir Datos Genómicos de la Influenza (GISAID) por sus siglas en inglés y hoy sábado 17 de abril, fueron aceptadas por esta plataforma en la cual se registran todos los genomas secuenciados en el mundo, señaló el informe.El Distrito informó que cada una de las personas a quienes se les detectaron las variantes se aislaron estas variantes, están siendo seguidas conforme los protocolos epidemiológicos.""La llegada de nuevas variantes en Bogotá ya es un hecho. Tenemos que cuidarnos, para poder ir avanzando, de manera muy rápida y en la medida de nuestras capacidades, con el proceso de vacunación"", señaló Alejandro Gómez, secretario de Salud de Bogotá.Las entidades agregaron que 3 de los individuos portadores de la variante del Reino Unido fueron identificados mediante los tamizajes rutinarios que realiza la Secretaría Distrital de Salud, como parte de la estrategia DAR y corresponden a individuos con antecedente de viaje reciente a los Estados Unidos.",Portafolio
7,Así avanza el plan de vacunación contra el coronavirus en Colombia,2021-04-18,"
Con corte al 16 de abril de 2021, (23:59 p.m.), Colombia ya ha aplicado 3.590.096 dosis de vacunas contra la Covid-19, según reveló el más reciente informe del Ministerio de Salud en su reporte diario. Total segundas dosis: 1.093.853Dosis día: 135.012Segundas dosis día: 45.898
Informe de actividad de #vacunación en Colombia 🇨🇴, con corte al 16 de abril de 2021, 11:59 p.m.✌️#Vacunémonos pic.twitter.com/YH5DfC6M2v— MinSaludCol (@MinSaludCol) April 17, 2021 ",Portafolio
8,"
Estas son las empresas que deben reportar ante la Supersociedades",2021-04-18,"

Las sociedades comerciales, sucursales de sociedades extranjeras y empresas unipersonales tendrán plazo hasta el próximo viernes 7 de mayo para remitir a la Superintendencia de Sociedades, los Estados Financieros fin de ejercicio con corte al 31 de diciembre de 2020, junto con los documentos adicionales requeridos, a través del Sistema Integrado de Reportes Financieros –SIRFIN.(Le puede interesar, también: Así quedaría el impuesto a la renta con la reforma tributaria)Así lo hizo saber el ente de vigilancia y control tras indicar que la recepción de dicha información comenzará el próximo lunes 12 de abril y que las empresas requeridas deberán enviar a través del aplicativo Storm los siguientes informes: 42 Prácticas Empresariales, Entidades Empresariales en vigilancia o control; 52 Programas de Transparencia y Ética Empresarial, Entidades Empresariales que cumplan con los criterios dispuestos en la Resolución 100-006261 del 2 de octubre de 2020.También el informe 50 Prevención y Riesgos LA/FT, las Entidades Empresariales obligadas a cumplir con lo dispuesto en el Capítulo X de la Circular Básica Jurídica de la Supersociedades.(Lea además: Así se puede comprar vivienda sin cuota inicial en Colombia)“Este proceso le permitirá a la Superintendencia de Sociedades conocer de primera mano la información financiera de las sociedades, que será usada para hacer análisis y diseñar políticas públicas que permitan orientar las acciones necesarias para mantener y/o recuperar el tejido empresarial"", señaló la entidad.Indicó, además, que esta información en particular, le permitirá conocer de manera detallada el comportamiento de las sociedades durante el 2020, año complejo por la dinámica de la economía por cuenta de la crisis generada por el covid-19, por lo que invitó a todas las entidades requeridas a aportar la información relacionada, la cual será clave para el análisis del sector empresarial y el desarrollo de políticas públicas, puntualizó Juan Pablo Liévano, Superintendente de Sociedades.

",El tiempo
9,"
Colombianos crean fábrica digital para fortalecer las ventas en línea",2021-04-18,"

Jóvenes emprendedores colombianos continúan demostrando el potencial que tiene el país en materia de desarrollo de plataformas tecnológicas que ayuden a las empresas, micro, pequeñas y medianas, a aprovechar las oportunidades que hoy en día ofrece internet para sus negocios. La nueva apuesta que presentan hoy estos desarrolladores es Mobu, aplicación implementada por la compañía Grability, la misma que creó el e-commerce de Rappi y de grandes comercios como el Corte Inglés y Walmart.(Lea también: David Vélez, el multimillonario colombiano que pocos conocían)Esta empresa de tecnología se inspiró en los aprendizajes que le dejó la Rappi, que gracias a su aporte en el desarrollo de la ‘app’ hoy sobresale por ser el primer unicornio colombiano que logra una valoración de al menos 3.500 millones de dólares y se destaca por registrar más de 13 millones de usuarios en su plataforma en siete países de la región y levantar casi 1.400 millones de dólares en inversiones.(Le puede intreresar: Wom se defiende de acusaciones sobre presunta publicidad engañosa)De esa experiencia hace parte, además, Superama, e-commerce propiedad de Walmart y desarrollado también por Grability, fue reconocido por los editores de Apple como “Lo mejor del 2017”.A través de esta nueva apuesta de democratización del e-commerce, Grability, que por medio de su tecnología ha ayudado a sus clientes a vender más de 4 millones de dólares mensuales y recibir más de 25.000 pedidos al mes, espera transformar digitalmente a más de 300 pymes de América Latina y Norteamérica y 100 de Colombia, quienes a raíz de la crisis del COVID-19, demandan hoy una herramienta virtual para reactivarse económicamente y llevar sus negocios al mundo digital.



Facebook
Twitter
Enviar
Linkedin




Hernando Fonseca, Vicepresidente Comercial de Grability.

Foto:
El Tiempo / cortesía

¿Cómo las pequeñas empresas se pueden beneficiar de esta nueva app?Mobu es una solucion de applicaciones de ecommerce bajo un modelo Marca Blanca. Hoy más del 70 por ciento de las compras en linea se hacen a través de dispositivos moviles y los websites no son optimizados para celulares ni tienen una experiencia nativa. Esto hace que más del 78 por ciento de usuarios estén inconformes y prefieran hacer las compras a través de aplicaciones nativas. Todos los comercios se están viendo obligados a transformarse digitalmente y a buscar canales de ventas en linea. Hoy es muy difícil acceder a buena tecnología que diferencien a los comercios sobre su competencia por los altos costos, y esto es algo que buscamos cambiar, ofreciendo a las pymes o cualquier comercio, la misma tecnología que antes solo podíamos ofrecerle a grandes retailers como El Corte Inglés.¿En cuánto tiempo una pyme que adquiera esta tecnología comienza a capitalizar resultados?La variación entre la capitalización se ve afectada por muchos factores. Tenemos clientes que desde los primeros tres meses ya capitalizan sus resultados. Factores externos como Marketing y trayectoria de relación con sus clientes influyen en los resultados. Con nuestro producto, buscamos que los usuarios de los comercios se sientan valorados con experiencias de usuarios que les hará su vida fácil al momento de comprar en línea lo que genera mayores conversiones y recompras que en los ecommerce web. Con algunos casos de nuestros clientes, los usuarios han hecho recompras tres veces mas seguidas que en las páginas web lo que les ha permitido capitalizar sus resultados en un par de meses. ¿Cuáles son los sectores llamados a obtener mejores resultados con esta aplicación y cuál es su costo?Hay muchas industrias que se benefician de tener aplicaciones nativas y otras que no tanto. Comercios que tienen productos de mucha recompra, con muchos SKUs y que buscan tener una relación a largo plazo con sus consumidores, son empresas que se benefician de aplicaciones móviles. Supermercados, tiendas de mascotas, productos de belleza, productos orgánicos, productos comestibles de consumo masivo han sido unas de las industrias mas beneficiadas a nivel global de aplicaciones nativas. Hoy estamos lanzando aplicaciones con clientes desde 3 millones de pesos mensuales.¿Cómo una empresa colombiana termina trabajando para Walmart, Rappi y otros grandes del comercio?Es muy importante tener la propuesta de valor clara, tener tecnología de alta calidad y entender muy bien los hábitos de los consumidores para innovar y ofrecer experiencias de compra que serán de gran impacto en la actualidad y en el futuro. Al diseñar este producto bajo estos factores, tuvimosd la oportunidad de ser invitados a presentar el producto en ferias de tecnología de Estados Unidos. Esto llamó la atención tanto de inversionistas como de clientes como Walmart y El Corte Inglés que estaban buscando diferenciarse de su competencia con tecnología. Para estas empresas es muy difícil tomar decisiones radicales de innovación y aquí fue muy importante generar la confianza en nuestro producto mostrando resultados rápidamente. Tuvimos la fortuna de ser reconocidos por Apple como mejores aplicaciones de ecommerce a nivel global y esto ha ayudado a seguir generando esta confianza. Y dónde encaja Rappi... El cuento con Rappi es diferente. Fue un experimento interno, resultado de la frustración de querer innovar más rápidamente de lo que nuestros clientes querían. Esto nos motivo a usar nuestra tecnología para innovar a una mayor velocidad y montar productos de tiendas de barrio. El producto se lanzó en Bogota y se llamó Rappi. A pesar de ser fundada por el mismo equipo de Grability, Rappi se separa como una empresa independiente para facilitar los procesos con los inversionistas. Hoy Grability se sigue enfocando en crear tecnología para los comercios que quieren ser dueños de sus propias experiencias de compras con Aplicaciones móviles.¿Cómo lograr los objetivos de transformar digitalmente a más de 300 pymes de Latam y 100 de Colombia?Muchas empresas se fijan en el costo de implementar una app de calidad, pero no consideran los costos de no innovar y estar detrás de su competencia en canales digitales. En Grability buscamos apoyar a las pymes en poder acceder a esta tecnología sin incurrir en inversiones iniciales altas. El reto fue cómo poder escalar la tecnología a los comercios, sin sacrificar la calidad. Teniendo ahora nuestro producto estrella, buscamos lanzar aplicaciones en menos de un mes con cada cliente y que puedan alcanzar ese tiempo al mercado rápidamente. Tenemos planes mensuales accesibles que permitiran a los comercios adoptar estas tecnologías sin inversiones grandes iniciales. Con esta estrategia, podremos llevar esta solución a cualquier empresa. Nuestras alianzas también juegan un papel muy importante, al poder ofrecer a los comercios servicios de ultima milla, mercadeo CRM entre otros.¿Qué necesita una empresa para acceder a esta herramienta, dado que las pymes no están tan desarrolladas tecnológicamente, por lo menos en Colombia?Lo mas importante es identificar muy bien sus objetivos a corto, mediano y largo plazo. Si dentro de sus objetivos esta desarrollar relaciones en linea con sus consumidores y lanzar o aumentar sus ventas online, tomar buenas decisiones de innovación serán un factor muy importante en el éxito y futuro del comercio. Hoy apoyamos a los comercios a entender cómo nuestra tecnología puede alinearse con sus objetivos y les permitirá alcanzar sus metas y diferenciarse. Ya con una estrategia definida, ayudamos a montar su tienda en linea con sus aplicaciones. Si un cliente ya tienen un ecommerce funcionando, podemos conectar nuestras aplicaciones para potenciar sus ecommerce con apps nativas. Nuestros equipos de diseño también son un factor clave en estilizar las aplicaciones y permitan a los comercios mantener esa identidad de marca.Continúe leyendo:- Los puntos de la reforma tributaria que ya desataron controversia- Así se puede comprar vivienda sin cuota inicial en Colombia

",El tiempo
